TECHUSE,TECHUSE_LABEL,NSFSZFI,NSFSZFI_LABEL,FIRMPDEMP
T1E03B05,Artificial Intelligence: High use,001,All firms,20212
T1E03B06,Artificial Intelligence: Don't know,001,All firms,251786
T1E03BA9,Artificial Intelligence: Total Reporting,001,All firms,4750687
T1E03B05,Artificial Intelligence: High use,811,Firms with no employees,1490
T1E03B06,Artificial Intelligence: Don't know,811,Firms with no employees,13399
T1E03BA9,Artificial Intelligence: Total Reporting,811,Firms with no employees,318852
T1E03B05,Artificial Intelligence: High use,815,Firms with 1 to 9 employees,13051
T1E03B06,Artificial Intelligence: Don't know,815,Firms with 1 to 9 employees,174507
T1E03BA9,Artificial Intelligence: Total Reporting,815,Firms with 1 to 9 employees,3351729
T1E03B05,Artificial Intelligence: High use,857,Firms with 10 employees or more,5669
T1E03B06,Artificial Intelligence: Don't know,857,Firms with 10 employees or more,63878
T1E03BA9,Artificial Intelligence: Total Reporting,857,Firms with 10 employees or more,1080104
