State,TECHUSE,TECHUSE_LABEL,FIRMPDEMP,StateCode,Region,Division
Alabama,T1E03B05,Artificial Intelligence: High use,356,AL,South,East South Central
Alabama,T1E03B06,Artificial Intelligence: Don't know,4244,AL,South,East South Central
Alabama,T1E03BA9,Artificial Intelligence: Total Reporting,57849,AL,South,East South Central
Alaska,T1E03B05,Artificial Intelligence: High use,62,AK,West,Pacific
Alaska,T1E03B06,Artificial Intelligence: Don't know,578,AK,West,Pacific
Alaska,T1E03BA9,Artificial Intelligence: Total Reporting,12689,AK,West,Pacific
Arizona,T1E03B05,Artificial Intelligence: High use,471,AZ,West,Mountain
Arizona,T1E03B06,Artificial Intelligence: Don't know,4457,AZ,West,Mountain
Arizona,T1E03BA9,Artificial Intelligence: Total Reporting,85567,AZ,West,Mountain
Arkansas,T1E03B05,Artificial Intelligence: High use,233,AR,South,West South Central
Arkansas,T1E03B06,Artificial Intelligence: Don't know,2994,AR,South,West South Central
Arkansas,T1E03BA9,Artificial Intelligence: Total Reporting,41446,AR,South,West South Central
California,T1E03B05,Artificial Intelligence: High use,3383,CA,West,Pacific
California,T1E03B06,Artificial Intelligence: Don't know,36518,CA,West,Pacific
California,T1E03BA9,Artificial Intelligence: Total Reporting,597511,CA,West,Pacific
Colorado,T1E03B05,Artificial Intelligence: High use,582,CO,West,Mountain
Colorado,T1E03B06,Artificial Intelligence: Don't know,5557,CO,West,Mountain
Colorado,T1E03BA9,Artificial Intelligence: Total Reporting,119722,CO,West,Mountain
Connecticut,T1E03B05,Artificial Intelligence: High use,224,CT,Northeast,New England
Connecticut,T1E03B06,Artificial Intelligence: Don't know,3691,CT,Northeast,New England
Connecticut,T1E03BA9,Artificial Intelligence: Total Reporting,55413,CT,Northeast,New England
Delaware,T1E03B05,Artificial Intelligence: High use,141,DE,South,South Atlantic
Delaware,T1E03B06,Artificial Intelligence: Don't know,1049,DE,South,South Atlantic
Delaware,T1E03BA9,Artificial Intelligence: Total Reporting,15104,DE,South,South Atlantic
District of Columbia,T1E03B05,Artificial Intelligence: High use,66,DC,South,South Atlantic
District of Columbia,T1E03B06,Artificial Intelligence: Don't know,918,DC,South,South Atlantic
District of Columbia,T1E03BA9,Artificial Intelligence: Total Reporting,9501,DC,South,South Atlantic
Florida,T1E03B05,Artificial Intelligence: High use,2032,FL,South,South Atlantic
Florida,T1E03B06,Artificial Intelligence: Don't know,17563,FL,South,South Atlantic
Florida,T1E03BA9,Artificial Intelligence: Total Reporting,352981,FL,South,South Atlantic
Georgia,T1E03B05,Artificial Intelligence: High use,673,GA,South,South Atlantic
Georgia,T1E03B06,Artificial Intelligence: Don't know,9563,GA,South,South Atlantic
Georgia,T1E03BA9,Artificial Intelligence: Total Reporting,140609,GA,South,South Atlantic
Hawaii,T1E03B05,Artificial Intelligence: High use,0,HI,West,Pacific
Hawaii,T1E03B06,Artificial Intelligence: Don't know,1444,HI,West,Pacific
Hawaii,T1E03BA9,Artificial Intelligence: Total Reporting,19104,HI,West,Pacific
Idaho,T1E03B05,Artificial Intelligence: High use,87,ID,West,Mountain
Idaho,T1E03B06,Artificial Intelligence: Don't know,2062,ID,West,Mountain
Idaho,T1E03BA9,Artificial Intelligence: Total Reporting,35486,ID,West,Mountain
Illinois,T1E03B05,Artificial Intelligence: High use,897,IL,Midwest,East North Central
Illinois,T1E03B06,Artificial Intelligence: Don't know,13471,IL,Midwest,East North Central
Illinois,T1E03BA9,Artificial Intelligence: Total Reporting,207863,IL,Midwest,East North Central
Indiana,T1E03B05,Artificial Intelligence: High use,187,IN,Midwest,East North Central
Indiana,T1E03B06,Artificial Intelligence: Don't know,5191,IN,Midwest,East North Central
Indiana,T1E03BA9,Artificial Intelligence: Total Reporting,94112,IN,Midwest,East North Central
Iowa,T1E03B05,Artificial Intelligence: High use,308,IA,Midwest,West North Central
Iowa,T1E03B06,Artificial Intelligence: Don't know,3159,IA,Midwest,West North Central
Iowa,T1E03BA9,Artificial Intelligence: Total Reporting,56454,IA,Midwest,West North Central
Kansas,T1E03B05,Artificial Intelligence: High use,187,KS,Midwest,West North Central
Kansas,T1E03B06,Artificial Intelligence: Don't know,2719,KS,Midwest,West North Central
Kansas,T1E03BA9,Artificial Intelligence: Total Reporting,49907,KS,Midwest,West North Central
Kentucky,T1E03B05,Artificial Intelligence: High use,174,KY,South,East South Central
Kentucky,T1E03B06,Artificial Intelligence: Don't know,3237,KY,South,East South Central
Kentucky,T1E03BA9,Artificial Intelligence: Total Reporting,56779,KY,South,East South Central
Louisiana,T1E03B05,Artificial Intelligence: High use,144,LA,South,West South Central
Louisiana,T1E03B06,Artificial Intelligence: Don't know,3212,LA,South,West South Central
Louisiana,T1E03BA9,Artificial Intelligence: Total Reporting,60607,LA,South,West South Central
Maryland,T1E03B05,Artificial Intelligence: High use,391,MD,South,South Atlantic
Maryland,T1E03B06,Artificial Intelligence: Don't know,4627,MD,South,South Atlantic
Maryland,T1E03BA9,Artificial Intelligence: Total Reporting,87228,MD,South,South Atlantic
Maine,T1E03B05,Artificial Intelligence: High use,0,ME,Northeast,New England
Maine,T1E03B06,Artificial Intelligence: Don't know,1111,ME,Northeast,New England
Maine,T1E03BA9,Artificial Intelligence: Total Reporting,25575,ME,Northeast,New England
Massachusetts,T1E03B05,Artificial Intelligence: High use,184,MA,Northeast,New England
Massachusetts,T1E03B06,Artificial Intelligence: Don't know,5418,MA,Northeast,New England
Massachusetts,T1E03BA9,Artificial Intelligence: Total Reporting,108589,MA,Northeast,New England
Michigan,T1E03B05,Artificial Intelligence: High use,324,MI,Midwest,East North Central
Michigan,T1E03B06,Artificial Intelligence: Don't know,8007,MI,Midwest,East North Central
Michigan,T1E03BA9,Artificial Intelligence: Total Reporting,143975,MI,Midwest,East North Central
Minnesota,T1E03B05,Artificial Intelligence: High use,279,MN,Midwest,West North Central
Minnesota,T1E03B06,Artificial Intelligence: Don't know,4105,MN,Midwest,West North Central
Minnesota,T1E03BA9,Artificial Intelligence: Total Reporting,103004,MN,Midwest,West North Central
Mississippi,T1E03B05,Artificial Intelligence: High use,106,MS,South,East South Central
Mississippi,T1E03B06,Artificial Intelligence: Don't know,2061,MS,South,East South Central
Mississippi,T1E03BA9,Artificial Intelligence: Total Reporting,33365,MS,South,East South Central
Missouri,T1E03B05,Artificial Intelligence: High use,257,MO,Midwest,West North Central
Missouri,T1E03B06,Artificial Intelligence: Don't know,4279,MO,Midwest,West North Central
Missouri,T1E03BA9,Artificial Intelligence: Total Reporting,90609,MO,Midwest,West North Central
Montana,T1E03B05,Artificial Intelligence: High use,76,MT,West,Mountain
Montana,T1E03B06,Artificial Intelligence: Don't know,976,MT,West,Mountain
Montana,T1E03BA9,Artificial Intelligence: Total Reporting,28326,MT,West,Mountain
Nebraska,T1E03B05,Artificial Intelligence: High use,148,NE,Midwest,West North Central
Nebraska,T1E03B06,Artificial Intelligence: Don't know,1983,NE,Midwest,West North Central
Nebraska,T1E03BA9,Artificial Intelligence: Total Reporting,41025,NE,Midwest,West North Central
Nevada,T1E03B05,Artificial Intelligence: High use,142,NV,West,Mountain
Nevada,T1E03B06,Artificial Intelligence: Don't know,2219,NV,West,Mountain
Nevada,T1E03BA9,Artificial Intelligence: Total Reporting,39157,NV,West,Mountain
New Jersey,T1E03B05,Artificial Intelligence: High use,629,NJ,Northeast,Middle Atlantic
New Jersey,T1E03B06,Artificial Intelligence: Don't know,9755,NJ,Northeast,Middle Atlantic
New Jersey,T1E03BA9,Artificial Intelligence: Total Reporting,146459,NJ,Northeast,Middle Atlantic
New Hampshire,T1E03B05,Artificial Intelligence: High use,92,NH,Northeast,New England
New Hampshire,T1E03B06,Artificial Intelligence: Don't know,1141,NH,Northeast,New England
New Hampshire,T1E03BA9,Artificial Intelligence: Total Reporting,25305,NH,Northeast,New England
New York,T1E03B05,Artificial Intelligence: High use,1190,NY,Northeast,Middle Atlantic
New York,T1E03B06,Artificial Intelligence: Don't know,22828,NY,Northeast,Middle Atlantic
New York,T1E03BA9,Artificial Intelligence: Total Reporting,320345,NY,Northeast,Middle Atlantic
New Mexico,T1E03B05,Artificial Intelligence: High use,192,NM,West,Mountain
New Mexico,T1E03B06,Artificial Intelligence: Don't know,1425,NM,West,Mountain
New Mexico,T1E03BA9,Artificial Intelligence: Total Reporting,25990,NM,West,Mountain
North Carolina,T1E03B05,Artificial Intelligence: High use,533,NC,South,South Atlantic
North Carolina,T1E03B06,Artificial Intelligence: Don't know,8063,NC,South,South Atlantic
North Carolina,T1E03BA9,Artificial Intelligence: Total Reporting,151506,NC,South,South Atlantic
North Dakota,T1E03B05,Artificial Intelligence: High use,0,ND,Midwest,West North Central
North Dakota,T1E03B06,Artificial Intelligence: Don't know,1125,ND,Midwest,West North Central
North Dakota,T1E03BA9,Artificial Intelligence: Total Reporting,17856,ND,Midwest,West North Central
Ohio,T1E03B05,Artificial Intelligence: High use,464,OH,Midwest,East North Central
Ohio,T1E03B06,Artificial Intelligence: Don't know,8579,OH,Midwest,East North Central
Ohio,T1E03BA9,Artificial Intelligence: Total Reporting,153779,OH,Midwest,East North Central
Oklahoma,T1E03B05,Artificial Intelligence: High use,357,OK,South,West South Central
Oklahoma,T1E03B06,Artificial Intelligence: Don't know,3157,OK,South,West South Central
Oklahoma,T1E03BA9,Artificial Intelligence: Total Reporting,57990,OK,South,West South Central
Oregon,T1E03B05,Artificial Intelligence: High use,376,OR,West,Pacific
Oregon,T1E03B06,Artificial Intelligence: Don't know,3869,OR,West,Pacific
Oregon,T1E03BA9,Artificial Intelligence: Total Reporting,81344,OR,West,Pacific
Pennsylvania,T1E03B05,Artificial Intelligence: High use,788,PA,Northeast,Middle Atlantic
Pennsylvania,T1E03B06,Artificial Intelligence: Don't know,9551,PA,Northeast,Middle Atlantic
Pennsylvania,T1E03BA9,Artificial Intelligence: Total Reporting,187859,PA,Northeast,Middle Atlantic
South Carolina,T1E03B05,Artificial Intelligence: High use,192,SC,South,South Atlantic
South Carolina,T1E03B06,Artificial Intelligence: Don't know,3500,SC,South,South Atlantic
South Carolina,T1E03BA9,Artificial Intelligence: Total Reporting,66678,SC,South,South Atlantic
Rhode Island,T1E03B05,Artificial Intelligence: High use,0,RI,Northeast,New England
Rhode Island,T1E03B06,Artificial Intelligence: Don't know,831,RI,Northeast,New England
Rhode Island,T1E03BA9,Artificial Intelligence: Total Reporting,17362,RI,Northeast,New England
South Dakota,T1E03B05,Artificial Intelligence: High use,0,SD,Midwest,West North Central
South Dakota,T1E03B06,Artificial Intelligence: Don't know,991,SD,Midwest,West North Central
South Dakota,T1E03BA9,Artificial Intelligence: Total Reporting,19478,SD,Midwest,West North Central
Tennessee,T1E03B05,Artificial Intelligence: High use,225,TN,South,East South Central
Tennessee,T1E03B06,Artificial Intelligence: Don't know,4519,TN,South,East South Central
Tennessee,T1E03BA9,Artificial Intelligence: Total Reporting,76700,TN,South,East South Central
Texas,T1E03B05,Artificial Intelligence: High use,1810,TX,South,West South Central
Texas,T1E03B06,Artificial Intelligence: Don't know,18370,TX,South,West South Central
Texas,T1E03BA9,Artificial Intelligence: Total Reporting,328697,TX,South,West South Central
Utah,T1E03B05,Artificial Intelligence: High use,350,UT,West,Mountain
Utah,T1E03B06,Artificial Intelligence: Don't know,2613,UT,West,Mountain
Utah,T1E03BA9,Artificial Intelligence: Total Reporting,56468,UT,West,Mountain
Vermont,T1E03B05,Artificial Intelligence: High use,0,VT,Northeast,New England
Vermont,T1E03B06,Artificial Intelligence: Don't know,656,VT,Northeast,New England
Vermont,T1E03BA9,Artificial Intelligence: Total Reporting,14195,VT,Northeast,New England
Washington,T1E03B05,Artificial Intelligence: High use,626,WA,West,Pacific
Washington,T1E03B06,Artificial Intelligence: Don't know,5767,WA,West,Pacific
Washington,T1E03BA9,Artificial Intelligence: Total Reporting,125417,WA,West,Pacific
Virginia,T1E03B05,Artificial Intelligence: High use,644,VA,South,South Atlantic
Virginia,T1E03B06,Artificial Intelligence: Don't know,6675,VA,South,South Atlantic
Virginia,T1E03BA9,Artificial Intelligence: Total Reporting,125230,VA,South,South Atlantic
West Virginia,T1E03B05,Artificial Intelligence: High use,0,WV,South,South Atlantic
West Virginia,T1E03B06,Artificial Intelligence: Don't know,1255,WV,South,South Atlantic
West Virginia,T1E03BA9,Artificial Intelligence: Total Reporting,21184,WV,South,South Atlantic
Wisconsin,T1E03B05,Artificial Intelligence: High use,409,WI,Midwest,East North Central
Wisconsin,T1E03B06,Artificial Intelligence: Don't know,4092,WI,Midwest,East North Central
Wisconsin,T1E03BA9,Artificial Intelligence: Total Reporting,99477,WI,Midwest,East North Central
Wyoming,T1E03B05,Artificial Intelligence: High use,0,WY,West,Mountain
Wyoming,T1E03B06,Artificial Intelligence: Don't know,735,WY,West,Mountain
Wyoming,T1E03BA9,Artificial Intelligence: Total Reporting,14413,WY,West,Mountain
