MOTUSETECH,MOTUSETECH_LABEL,NAICS2017,NAICS2017_LABEL,FIRMPDEMP
T1E04C01,Artificial Intelligence: To automate tasks performed by labor,00,Total for all sectors,39038
T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,00,Total for all sectors,52605
T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,00,Total for all sectors,69935
T1E04C04,Artificial Intelligence: To expand the range of goods or services,00,Total for all sectors,33748
T1E04C05,Artificial Intelligence: To adopt standards and accreditation,00,Total for all sectors,16651
T1E04C06,Artificial Intelligence: Some other reason,00,Total for all sectors,25848
T1E04C99,Artificial Intelligence: Total Reporting,00,Total for all sectors,141731
T1E04C01,Artificial Intelligence: To automate tasks performed by labor,11,"Agriculture, forestry, fishing and hunting",220
T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,11,"Agriculture, forestry, fishing and hunting",116
T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,11,"Agriculture, forestry, fishing and hunting",95
T1E04C04,Artificial Intelligence: To expand the range of goods or services,11,"Agriculture, forestry, fishing and hunting",66
T1E04C05,Artificial Intelligence: To adopt standards and accreditation,11,"Agriculture, forestry, fishing and hunting",0
T1E04C06,Artificial Intelligence: Some other reason,11,"Agriculture, forestry, fishing and hunting",0
T1E04C99,Artificial Intelligence: Total Reporting,11,"Agriculture, forestry, fishing and hunting",317
T1E04C01,Artificial Intelligence: To automate tasks performed by labor,22,Utilities,33
T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,22,Utilities,27
T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,22,Utilities,67
T1E04C04,Artificial Intelligence: To expand the range of goods or services,22,Utilities,20
T1E04C05,Artificial Intelligence: To adopt standards and accreditation,22,Utilities,3
T1E04C06,Artificial Intelligence: Some other reason,22,Utilities,10
T1E04C99,Artificial Intelligence: Total Reporting,22,Utilities,77
T1E04C01,Artificial Intelligence: To automate tasks performed by labor,21,"Mining, quarrying, and oil and gas extraction",103
T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,21,"Mining, quarrying, and oil and gas extraction",120
T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,21,"Mining, quarrying, and oil and gas extraction",130
T1E04C04,Artificial Intelligence: To expand the range of goods or services,21,"Mining, quarrying, and oil and gas extraction",33
T1E04C05,Artificial Intelligence: To adopt standards and accreditation,21,"Mining, quarrying, and oil and gas extraction",6
T1E04C06,Artificial Intelligence: Some other reason,21,"Mining, quarrying, and oil and gas extraction",18
T1E04C99,Artificial Intelligence: Total Reporting,21,"Mining, quarrying, and oil and gas extraction",290
T1E04C01,Artificial Intelligence: To automate tasks performed by labor,42,Wholesale trade,1650
T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,42,Wholesale trade,2221
T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,42,Wholesale trade,2657
T1E04C04,Artificial Intelligence: To expand the range of goods or services,42,Wholesale trade,1368
